Company Name,Company Page URL,Engagement Level,Organic Impressions,Organic Engagements,Paid Impressions,Paid Clicks,Paid Engagements,Paid Conversions,Paid Leads,Paid Qualified Leads
"Malmö stad",https://www.linkedin.com/company/malmostad,Very High,110196,117269,22022,513,2733,,,
"Region Skåne",https://www.linkedin.com/company/region-skane,Very High,11081,11273,8281,113,468,,,
"Lund University",https://www.linkedin.com/company/lunduniversity,Very High,2811,2882,6502,22,203,,,
"IKEA",https://www.linkedin.com/company/ikea,High,2070,2015,6150,29,124,,,
"Helsingborgs stad",https://www.linkedin.com/company/helsingborg,Very High,3922,3969,6132,76,365,,,
"Lunds kommun",https://www.linkedin.com/company/lunds-kommun,Very High,8883,8880,5401,81,441,,,
"Malmö universitet",https://www.linkedin.com/company/malmo-universitet,Very High,3180,3320,3977,27,164,,,
"Göteborgs Stad",https://www.linkedin.com/company/göteborg,Very High,1297,1340,3101,16,79,,,
"Trelleborgs kommun",https://www.linkedin.com/company/trelleborgs-kommun,Very High,4252,4388,2263,43,168,,,
"Massive Entertainment - A Ubisoft Studio",https://www.linkedin.com/company/massiveentertainment,High,526,529,1844,3,14,,,
"Axis Communications",https://www.linkedin.com/company/axis-communications,Very High,811,795,1586,4,23,,,
"Stockholms stad",https://www.linkedin.com/company/stockholmsstad,Very High,1829,1947,1526,9,27,,,
"Arbetsförmedlingen",https://www.linkedin.com/company/arbetsformedlingen,Very High,2216,2180,1480,27,110,,,
"Landskrona stad",https://www.linkedin.com/company/landskronastad,Very High,1573,1590,1378,21,132,,,
"Trygg-Hansa",https://www.linkedin.com/company/trygg-hansa,Very High,524,523,1266,6,15,,,
"Burlövs kommun",https://www.linkedin.com/company/burlovskommun,Very High,2050,2171,1174,24,85,,,
"Trafikverket",https://www.linkedin.com/company/trafikverket,Very High,1729,1785,1119,7,48,,,
"Jönköpings kommun",https://www.linkedin.com/company/jonkopingskommun,Very High,388,402,1108,3,21,,,
"Lunds Tekniska Högskola",https://www.linkedin.com/company/lunds-tekniska-högskola,Very High,394,404,1088,5,35,,,
"Nordea",https://www.linkedin.com/company/nordea,Very High,475,514,1044,,17,,,
"Tetra Pak",https://www.linkedin.com/company/tetra-pak,Very High,566,565,1014,4,24,,,
"Kriminalvården",https://www.linkedin.com/company/kriminalvarden,Very High,1180,1208,1011,15,53,,,
"Försäkringskassan",https://www.linkedin.com/company/forsakringskassan,Very High,1850,1845,977,13,39,,,
"Kristianstads kommun",https://www.linkedin.com/company/kristianstads-kommun,Very High,1379,1462,973,17,72,,,
"AFRY",https://www.linkedin.com/company/afry,Very High,1521,1578,959,6,27,,,
"Hässleholms kommun",https://www.linkedin.com/company/hassleholms-kommun,Very High,860,881,955,23,60,,,
"Borås Stad",https://www.linkedin.com/company/boras-stad,High,155,160,943,7,23,,,
"Inter IKEA Group",https://www.linkedin.com/company/interikeagroup,High,296,300,931,6,25,,,
"Luleå tekniska universitet",https://www.linkedin.com/company/lulea-university-of-technology,High,218,231,923,,11,,,
"Eslövs kommun",https://www.linkedin.com/company/eslovs-kommun,Very High,1512,1510,922,29,67,,,
"Migrationsverket",https://www.linkedin.com/company/migrationsverket,Very High,893,896,901,18,52,,,
"Länsförsäkringar",https://www.linkedin.com/company/lansforsakringar,Very High,576,567,897,3,25,,,
"Halmstads kommun",https://www.linkedin.com/company/halmstadskommun,Very High,657,700,882,9,43,,,
"Kungsbacka kommun",https://www.linkedin.com/company/kungsbacka-kommun,High,119,125,863,3,22,,,
"Ängelholms kommun",https://www.linkedin.com/company/-ngelholms-kommun,Very High,594,616,857,10,34,,,
"Svedala kommun",https://www.linkedin.com/company/svedala-kommun,Very High,1160,1209,829,23,85,,,
"Kävlinge kommun",https://www.linkedin.com/company/kavlinge-kommun,Very High,902,909,819,14,66,,,
"Ystad - Ystads kommun",https://www.linkedin.com/company/ystads-kommun,Very High,1064,1093,793,16,75,,,
"Sweco",https://www.linkedin.com/company/sweco,Very High,2094,2166,791,9,50,,,
"Skatteverket",https://www.linkedin.com/company/skatteverket,Very High,703,697,787,9,53,,,
"Skånes universitetssjukhus (Skåne University Hospital)",https://www.linkedin.com/company/skanesus,Very High,891,909,769,10,39,,,
"Försvarsmakten",https://www.linkedin.com/company/forsvarsmakten,Very High,1045,1058,761,12,37,,,
"EY",https://www.linkedin.com/company/ernstandyoung,Very High,386,351,753,7,27,,,
"Polismyndigheten",https://www.linkedin.com/company/polismyndigheten,Very High,1035,1061,745,5,24,,,
"Frilans",https://www.linkedin.com/company/frilans-be,Very High,1177,1194,733,5,39,,,
"Resurs",https://www.linkedin.com/company/resurs-bank,High,189,199,706,,11,,,
"Alfa Laval",https://www.linkedin.com/company/alfa-laval,Very High,396,417,695,,12,,,
"Swedbank",https://www.linkedin.com/company/swedbank,Very High,335,315,685,5,14,,,
"Ericsson",https://www.linkedin.com/company/ericsson,High,125,113,643,3,10,,,
"Sjöbo Kommun",https://www.linkedin.com/company/sj-bo-kommun,Very High,854,882,639,17,85,,,
"Sharkmob",https://www.linkedin.com/company/sharkmob,High,101,102,635,3,16,,,
"Capgemini",https://www.linkedin.com/company/capgemini,High,196,207,616,3,12,,,
"MKB Fastighets AB",https://www.linkedin.com/company/mkb-fastighets-ab,Very High,1662,1660,610,9,59,,,
"Länsstyrelsen Skåne",https://www.linkedin.com/company/lansstyrelsenskane,Very High,1033,1076,586,14,42,,,
"Handelsbanken",https://www.linkedin.com/company/handelsbanken,Very High,297,300,581,6,20,,,
"ICA Gruppen",https://www.linkedin.com/company/ica,Very High,535,537,580,,20,,,
"Lomma kommun",https://www.linkedin.com/company/lomma-kommun,Very High,1036,1051,580,16,59,,,
"If Insurance",https://www.linkedin.com/company/ifinsurance,High,125,129,579,,7,,,
"Mölndals stad",https://www.linkedin.com/company/molndals-stad,Very High,244,249,566,,18,,,
"Saab",https://www.linkedin.com/company/saab,Very High,519,497,560,,4,,,
"Höganäs kommun",https://www.linkedin.com/company/hoganas-kommun,Very High,578,615,555,7,36,,,
"Vellinge kommun",https://www.linkedin.com/company/vellinge-kommun,Very High,1106,1118,545,15,61,,,
"Academic Work",https://www.linkedin.com/company/academic-work,Very High,240,234,544,,16,,,
"Högskolan Kristianstad",https://www.linkedin.com/company/högskolan-kristianstad,Very High,336,310,535,12,30,,,
"E.ON Sverige",https://www.linkedin.com/company/eonsverige,Very High,924,964,532,9,63,,,
"Skånetrafiken",https://www.linkedin.com/company/skanetrafiken,Very High,618,652,524,3,26,,,
"Uppsala kommun",https://www.linkedin.com/company/uppsala-kommun,Very High,215,224,513,4,12,,,
"Skanska",https://www.linkedin.com/company/skanska,Very High,1372,1408,507,9,33,,,
"Skolverket",https://www.linkedin.com/company/skolverket,High,97,100,500,8,33,,,
"Verisure",https://www.linkedin.com/company/verisure,Very High,242,240,498,,6,,,
"Lund University School of Economics and Management",https://www.linkedin.com/company/lund-university-school-of-economics-and-management,High,99,89,492,,7,,,
"Oatly",https://www.linkedin.com/company/oatly,Very High,230,237,490,4,12,,,
"Ikano Bank",https://www.linkedin.com/company/ikano-bank,Very High,288,283,476,5,17,,,
"Statens institutionsstyrelse",https://www.linkedin.com/company/statens-institutionsstyrelse,Very High,941,948,471,7,11,,,
"Malmö FF",https://www.linkedin.com/company/malmö-ff,Very High,538,534,469,,14,,,
"Göteborgs universitet",https://www.linkedin.com/company/university-of-gothenburg,High,135,133,464,4,13,,,
"Folksam",https://www.linkedin.com/company/folksam,Very High,176,168,464,3,11,,,
"Växjö kommun",https://www.linkedin.com/company/vaxjo-kommun,Very High,293,288,461,6,19,,,
"Iver Sverige",https://www.linkedin.com/company/iver-sverige,High,138,145,458,,,,,
"Hörby kommun",https://www.linkedin.com/company/horby-kommun,Very High,709,728,455,10,31,,,
"DHL Express",https://www.linkedin.com/company/dhlexpress,Medium,43,53,454,,,,,
"Sparbanken Skåne",https://www.linkedin.com/company/sparbankenskane,Very High,183,162,454,4,29,,,
"WSP i Sverige",https://www.linkedin.com/company/wsp-sweden,Very High,498,509,451,4,16,,,
"PwC Sverige",https://www.linkedin.com/company/pwc-sweden,Very High,330,310,444,,21,,,
"Skandia",https://www.linkedin.com/company/skandia,Low,16,17,437,,,,,
"Folkuniversitetet",https://www.linkedin.com/company/folkuniversitetet,Very High,364,374,437,4,22,,,
"SLU - Sveriges lantbruksuniversitet",https://www.linkedin.com/company/slu,Very High,353,334,436,,16,,,
"Staffanstorps kommun",https://www.linkedin.com/company/municipality-of-staffanstorp,Very High,1215,1244,423,17,52,,,
"Sveriges 4H",https://www.linkedin.com/company/sveriges4h,Very Low,,,419,,,,,
"PolyPeptide Group",https://www.linkedin.com/company/polypeptide-group,Very High,283,289,418,,6,,,
"RISE Research Institutes of Sweden",https://www.linkedin.com/company/rise-research-institutes-of-sweden,Very High,273,281,416,,4,,,
"Juridiska fakulteten vid Lunds universitet",https://www.linkedin.com/company/faculty-of-law-at-lund-university,Medium,21,22,415,3,13,,,
"Bjuvs kommun",https://www.linkedin.com/company/bjuvs-kommun,Very High,188,193,415,7,24,,,
"LF Finans",https://www.linkedin.com/company/lffinans,Low,19,19,410,,,,,
"Gleerups Utbildning",https://www.linkedin.com/company/gleerups-utbildning-ab,High,91,100,406,,8,,,
"Skurups kommun",https://www.linkedin.com/company/skurups-kommun,Very High,751,762,404,6,31,,,
"Höörs kommun",https://www.linkedin.com/company/h-rs-kommun,Very High,420,423,403,9,31,,,
"Västerås stad",https://www.linkedin.com/company/vasterasstad,Very High,209,221,402,,8,,,
"VA SYD",https://www.linkedin.com/company/va-syd,Very High,1460,1508,401,11,30,,,
"Folktandvården Skåne",https://www.linkedin.com/company/folktandvården-skåne,Very High,432,428,394,4,18,,,
"Linnéuniversitetet",https://www.linkedin.com/company/linneuniversitetet,Very High,235,187,387,4,15,,,
"Nordic Wellness",https://www.linkedin.com/company/nordic-wellness,Very High,510,514,386,,23,,,
"Höganäs AB",https://www.linkedin.com/company/hoganas-ab,Medium,37,35,381,,6,,,
"Volvo Cars",https://www.linkedin.com/company/volvocars,High,97,88,379,,,,,
"Klippans kommun",https://www.linkedin.com/company/klippans-kommun,Very High,307,329,369,8,28,,,
"Luleå kommun",https://www.linkedin.com/company/lulea-kommun,Medium,39,45,369,3,9,,,
"SEB",https://www.linkedin.com/company/seb,Very High,258,257,369,3,6,,,
"St1 Biokraft",https://www.linkedin.com/company/st1-biokraft,Very Low,3,3,360,,,,,
"Örebro kommun",https://www.linkedin.com/company/orebrokommun,Very High,125,139,360,,5,,,
"Kahls The & Kaffehandel AB",https://www.linkedin.com/company/kahls-the-kaffehandel-ab,Very Low,11,7,358,,,,,
"Linköpings kommun",https://www.linkedin.com/company/linkopings-kommun,Very High,278,283,355,,5,,,
"Förskoleförvaltningen Göteborgs Stad",https://www.linkedin.com/company/förskoleförvaltningen-göteborgs-stad,Very High,201,230,354,4,20,,,
"NCC",https://www.linkedin.com/company/ncc,Very High,696,737,352,3,24,,,
"Peab",https://www.linkedin.com/company/peab,Very High,795,789,349,3,18,,,
"Regional utveckling - Region Skåne",https://www.linkedin.com/company/regionalutvecklingskane,Very High,370,362,341,7,31,,,
"European Spallation Source ERIC",https://www.linkedin.com/company/essneutron,High,114,77,341,3,11,,,
"Deloitte",https://www.linkedin.com/company/deloitte,Very High,153,125,339,4,10,,,
"Linköpings universitet",https://www.linkedin.com/company/linkoping-university,Very High,145,157,338,,12,,,
"Rädda Barnen / Save the Children Sweden",https://www.linkedin.com/company/save-the-children-sweden,Very High,408,364,335,,18,,,
"IHM Business School",https://www.linkedin.com/company/ihm-business-school,Very High,176,165,335,5,22,,,
"itm8 Sverige",https://www.linkedin.com/company/itm8-sverige,Very High,220,199,333,,3,,,
"Tungsten Automation",https://www.linkedin.com/company/tungstenautomation,Very Low,,,332,,,,,
"Samhall AB",https://www.linkedin.com/company/samhall-ab,Very High,380,382,332,5,15,,,
